10.199	0.599	1
16.599	0.648	1
19.799	0.568	1
35.399	0	1
72.599	0.663	1
115.799	0.584	1
122.199	0.712	1
131.799	0.567	1
141.399	0.752	1
144.599	0.648	1
156.999	0.608	1
160.199	0.583	1
194.599	0.622	1
208.999	0.551	1
224.999	0.718	1
228.199	0.663	1
234.599	0.543	1
255.799	0.71	1
287.399	0.647	1
297.799	0.631	1
307.399	0.703	1
337.799	0.591	1
347.399	0.615	1
353.799	0.67	1
372.999	0.639	1
382.599	0.615	1
406.599	0.639	1
421.399	0.583	1
449.799	0.639	1
466.599	0.591	1
476.199	0.639	1
482.599	0.662	1
516.199	0.67	1
522.599	0.679	1
532.199	0.639	1
550.199	0.718	1
573.399	0.671	1
611.399	0.806	1
