7	0.65	1
32.2	0.642	1
41.8	0.714	1
51.4	0.578	1
61	0.635	1
69.4	0.563	1
75.8	0.538	1
101	0.594	1
107.4	0.674	1
119	0.65	1
128.6	0.579	1
173.8	0.874	1
209	0.642	1
212.2	0.482	1
215.4	0.45	1
218.6	0.458	1
221.8	0.65	1
237.8	0.53	1
244.2	0.554	1
269.4	0.626	1
272.6	0.61	1
331.4	0.49	1
341	0.586	1
344.2	0.522	1
350.6	0.522	1
369.8	0.522	1
376.2	0.538	1
391	0.435	1
409.8	0.506	1
443.4	0.491	1
473	0.426	1
479.4	0.49	1
498.6	0.49	1
535.4	0.57	1
543.8	0.562	1
553.4	0.65	1
570.2	0.467	1
605	0.482	1
608.2	0.482	1
619.8	0.458	1
