10.2	1.002	1
16.6	1.09	1
19.8	0.786	1
48.2	0.867	1
72.6	0.834	1
85.4	0.723	1
115.8	0.755	1
122.2	0.803	1
131.8	0.739	1
138.2	0.7	1
141.4	0.716	1
144.6	0.763	1
157	0.739	1
194.6	0.804	1
225	0.908	1
228.2	0.748	1
231.4	0.717	1
234.6	0.749	1
255.8	0.764	1
287.4	0.725	1
297.8	0.653	1
307.4	0.741	1
337.8	0.662	1
347.4	0.718	1
353.8	0.646	1
373	0.765	1
382.6	0.726	1
406.6	0.734	1
421.4	0.718	1
449.8	0.711	1
466.6	0.711	1
476.2	0.64	1
482.6	0.735	1
516.2	0.735	1
522.6	0.712	1
532.2	0.704	1
550.2	0.864	1
573.4	0.641	1
611.4	0.744	1
