13.4	0.431	1
35.4	0.415	1
38.6	0.415	1
45	0.463	1
57.8	0.43	1
79	0.414	1
82.2	0.422	1
88.6	0.462	1
125.4	0.359	1
163.4	0.487	1
188.2	0.343	1
241	0.486	1
247.4	0.478	1
259	0.439	1
281	0.462	1
284.2	0.43	1
301	0.431	1
321.8	0.455	1
325	0.439	1
328.2	0.415	1
360.2	0.415	1
363.4	0.431	1
413	0.486	1
424.6	0.471	1
435	0.439	1
460.2	0.422	1
469.8	0.462	1
489	0.414	1
492.2	0.47	1
495.4	0.478	1
501.8	0.398	1
519.4	0.494	1
525.8	0.438	1
556.6	0.518	1
567	0.406	1
585.8	0.47	1
592.2	0.454	1
595.4	0.398	1
601.8	0.454	1
